transactionHash,fromAddress,fromLabel,fromIsContract,toAddress,toLabel,toIsContract,tokenAddress,type,blockTimestamp,blockNumber,blockHash,tokenName,tokenSymbol,tokenDecimals,unitValue,tokenId,historicalUSD,chain
0x2a4f4315f4d45581f94dbee82e01907fd4503289e0d8cabd318533aa3848b736,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xB8614008D759A299cc9498DC6D8f3CD1705d2bA0,Mintly Wormhole NFT (wMINT) (0xB86),true,,external,2024-02-06T00:10:03Z,10194428,0xd948b3d417431b9c9cacdd24dd35d2c2f3eb2478aa9a6e3cdfe3a371cd4b7de7,Ethereum,ETH,18,0.0006,ethereum,1.37877,base
0x0821360a55541fa87e239b38805eb30e0e76e5cfbec2344e96845d805b990b58,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xB8614008D759A299cc9498DC6D8f3CD1705d2bA0,Mintly Wormhole NFT (wMINT) (0xB86),true,,external,2024-02-06T00:09:35Z,10194414,0xd9041c2ed4c425dedfaee423faa2cddebb7af3fc784384e3f4d899d41f8d8aff,Ethereum,ETH,18,0.0016107577215,ethereum,3.7014407061209247,base
0x8f47548d0e7730c88aca3cbb52146dd69c646d90644683a0534fb98315c1eae6,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xB8614008D759A299cc9498DC6D8f3CD1705d2bA0,Mintly Wormhole NFT (wMINT) (0xB86),true,,external,2024-02-06T00:09:07Z,10194400,0x50821bbd84074a226159e9b4a9e8236b71bba681097fefc4442d6542f6cd016e,Ethereum,ETH,18,0.0006,ethereum,1.37877,base
0xb63e05a3937d2c6eca0eaf8146e7bbe1c9b16f9747f7ed652e163ed9ce801af5,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x9AA0d21F37bfDdDFEaD5dE1bBa7CF7f7736CACfC,ERC1967Proxy (0x9AA),true,0xE57594F829b3d514EE12C41e81DF3861B19c26e3,token,2024-02-05T14:37:39Z,53155928,0xa936b2472cd6c30af3775437576135475748c3e39c4f6b9598a6a405d925670e,TMN Global Wrapper,TMNG,18,1600,technology-metal-network-global,99.544,polygon
0xeafac50f7819f5d22150c814662cff5a37d3d16e7249dc1728fa8ec4f24b3f48,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x1D68124e65faFC907325e3EDbF8c4d84499DAa8b,Wormhole: Token Bridge (0x1D6),true,0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85,token,2024-02-04T21:48:45Z,115742274,0xcd1b60d30246a0af314c0ebf312c23b90a7f9eb90081704cf6ea8a1abfadabf6,USD Coin,USDC,6,72.370422,usd-coin,72.370422,optimism
0xd92b70a9e524520f20fccb15592dd677922c424a16a928cce46fb7633efc09b9,0xDF90C9B995a3b10A5b8570a47101e6c6a29eb945,MEXC (0xDF9),false,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85,token,2024-02-04T21:38:03Z,115741953,0xd10250584b4a5916de84d88435b8f2af0bf8d8448df30d64901464b5202f2b90,USD Coin,USDC,6,72.370422,usd-coin,72.370422,optimism
0x88391353c2a85e210d933a58b212e06b7b84b35812e0afad12ff5b6a20d2b26f,0x75e89d5979E4f6Fba9F97c104c2F0AFB3F1dcB88,MEXC (0x75e),false,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x15e6E0D4ebeAC120F9a97e71FaA6a0235b85ED12,token,2024-02-04T20:15:11Z,19157254,0xb14002643e426f677761a555a7b030529f2044ed1ceff8d5a0c9eec0cae0d9f0,SatoshiVM,SAVM,18,155.24,satoshivm,496.768,ethereum
0xe4092f77c5846b55380873921367d61a8f7eb4088f121789141333ceb02ffdcd,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xD512Bc60EAD7b70c1645b1874eA59f295Ed62279,MEXC Deposit (0xD51),false,,external,2024-02-03T08:09:11Z,19146547,0x77348c901562d7b03cefe9e185ca86bc06bafd5d90387ce5791143802ed77319,Ethereum,ETH,18,0.073,ethereum,168.95046999999997,ethereum
0xba1ca71e4c44ed5a4d71170aba08e837e61dd2a1ed5a6dc60f9bb2c7aeb07cf7,0x6000da47483062A0D734Ba3dc7576Ce6A0B645C4,Uniswap: ExclusiveDutchOrderReactor (0x600),true,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,,internal,2024-02-03T08:07:35Z,19146540,0x4bcce372b9dfdf950075e4e919c73afde56cf085b7cdf06f7debd08c95bfe68f,Ethereum,ETH,18,0.083684719785884,ethereum,193.67907862525206,ethereum
0xba1ca71e4c44ed5a4d71170aba08e837e61dd2a1ed5a6dc60f9bb2c7aeb07cf7,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x919f9173E2Dc833Ec708812B4f1CB11B1a17eFDe,0x919f9173E2Dc833Ec708812B4f1CB11B1a17eFDe,true,0xdAC17F958D2ee523a2206206994597C13D831ec7,token,2024-02-03T08:07:35Z,19146540,0x4bcce372b9dfdf950075e4e919c73afde56cf085b7cdf06f7debd08c95bfe68f,Tether USD,USDT,6,200.85,tether,200.85,ethereum
0x3fb99678ae54a5e34ecadbf1e7ea9239202d0b1bd0310478ade8c68fff7055d9,0x4051E6709156aA60dAd4bc8EE527c7fd518DC3B6,IDO (0x405),true,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xdAC17F958D2ee523a2206206994597C13D831ec7,token,2024-01-29T22:10:59Z,19115073,0x73eb39a18c06b89a0b58651b382164844c5c293cd618f6e0c9cae0bda03e5201,Tether USD,USDT,6,200,tether,200,ethereum
0x5454c0289477940fb7e7dc2db27bef8ca5ba0ee4dad01029f80efea294b5a095,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x4051E6709156aA60dAd4bc8EE527c7fd518DC3B6,IDO (0x405),true,0xdAC17F958D2ee523a2206206994597C13D831ec7,token,2024-01-28T07:06:59Z,19103443,0x6283545ab1253adfd1f4196d9a4451204454013cb28d7c90e18db530ca298a60,Tether USD,USDT,6,200,tether,200,ethereum
0xcb044acf33a7007047a35616a41d3dc221ad26e411b76cc1110caee9b2c44f90,0xd91eFec7E42f80156d1D9f660a69847188950747,KuCoin: ERC1967Proxy (0xd91),true,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xdAC17F958D2ee523a2206206994597C13D831ec7,token,2024-01-28T07:04:35Z,19103431,0x587b673a17c66a69235f6fed79c98761211c0e26bc6ba898455686d1db6e27cf,Tether USD,USDT,6,200.85,tether,200.85,ethereum
0x4cc3691787b041b019332c81be4544e66c70cc236c443215e31f1404f63e5c25,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0x122D06a722f3ee4AfA33D3b19aba0671bFC98581,Moon App Staked (stAPP) (0x122),true,0xC5d27F27F08D1FD1E3EbBAa50b3442e6c0D50439,token,2024-01-27T12:16:23Z,19097855,0xb562cac101488a9afb15f67324d3f2224d27b49c9231a932d743aaeec99f85d6,Moon App,APP,18,7575.1143,moon-app,335.42060712170394,ethereum
0x402fe526afc58af8c76324b9127cc09a6d4dc13ad37b05480c8b8fee25b24e0d,0x58edF78281334335EfFa23101bBe3371b6a36A51,KuCoin (0x58e),false,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,0xC5d27F27F08D1FD1E3EbBAa50b3442e6c0D50439,token,2024-01-27T12:13:35Z,19097841,0x1053187b550be96b4d79aef3da4af9cc417615d9452acffd4f4f03def3ff39a6,Moon App,APP,18,7575.1143,moon-app,336.524149772928,ethereum
0x1ffc7029e027d623aa50e64770370aab01ed14a0767a9748ac24321f81c9cb27,0x14C43dAC1D4268779279679210F24294D7B15Ed2,StakingPool (0x14C),true,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,0x0DBEfc275a81034f13041B3BcAa3Ad1831f10d60,false,,internal,2024-01-26T20:18:59Z,19093109,0x3f0dfa83164b4694de1871c1b1fe8b7eb0b28a9981583b3706bd2b78a13c455f,Ethereum,ETH,18,0.004671724890343967,ethereum,10.564358363530426,ethereum